id,group_id,course_code,is_mandatory,notes
546,23,EESC04H3,1,
547,23,EESC30H3,1,
548,23,BIOD25H3,1,
549,23,BIOD26H3,1,
550,23,BIOD34H3,1,
551,23,BIOD43H3,1,
552,23,BIOD45H3,1,
553,23,BIOD48H3,1,
554,23,BIOD52H3,1,
555,23,BIOD53H3,1,
556,23,BIOD54H3,1,
557,23,BIOD55H3,1,
558,23,BIOD59H3,1,
559,23,BIOD60H3,1,
560,23,BIOD62H3,1,
561,23,BIOD63H3,1,
562,23,BIOD66H3,1,
563,23,BIOD67H3,1,
564,23,EESD15H3,1,
565,23,COPB50H3,1,
566,23,COPB54H3,1,
567,23,COPB51H3,1,
568,23,COPB55H3,1,
569,23,COPB52H3,1,
570,23,COPC98H3,1,
571,23,COPC99H3,1,
572,23,COPC01H3,1,
573,23,COPC02H3,1,
574,23,COPC03H3,1,
575,23,COPC04H3,1,
576,23,COPC05H3,1,
577,24,ENGA01H3,1,
578,24,ENGA02H3,1,
579,24,COPB50H3,1,
580,24,COPB58H3,1,
581,24,COPB51H3,1,
582,24,COPB59H3,1,
583,24,COPB52H3,1,
584,24,COPC98H3,1,
585,24,COPC99H3,1,
586,24,COPC01H3,1,
587,24,COPC02H3,1,
588,24,COPC03H3,1,
589,24,COPC04H3,1,
590,24,COPC05H3,1,
591,25,CHMA10H3,1,
592,25,CHMA11H3,1,
593,25,CHMA12H3,1,
594,25,MATA30H3,1,
595,25,MATA36H3,1,
596,25,EESA01H3,1,
597,25,EESA06H3,1,
598,25,EESA07H3,1,
599,25,EESA11H3,1,
600,25,CHMB16H3,1,
601,25,COPB50H3,1,
602,25,COPB54H3,1,
603,25,COPB51H3,1,
604,25,COPB55H3,1,
605,25,COPB52H3,1,
606,25,COPC98H3,1,
607,25,COPC99H3,1,
608,25,COPC01H3,1,
609,25,COPC02H3,1,
610,25,COPC03H3,1,
611,25,COPC04H3,1,
612,25,COPC05H3,1,
613,26,BIOA01H3,1,
614,26,BIOA02H3,1,
615,26,EESA06H3,1,
616,26,COPB50H3,1,
617,26,COPB54H3,1,
618,26,COPB51H3,1,
619,26,COPB55H3,1,
620,26,COPB52H3,1,
621,26,COPC98H3,1,
622,26,COPC99H3,1,
623,26,COPC01H3,1,
624,26,COPC02H3,1,
625,26,COPC03H3,1,
626,26,COPC04H3,1,
627,26,COPC05H3,1,
628,27,ANTA01H3,1,
629,27,ANTA02H3,1,
630,27,COPB50H3,1,
631,27,COPB54H3,1,
632,27,COPB51H3,1,
633,27,COPB55H3,1,
634,27,COPB52H3,1,
