course_code,course_code_prefix,offering_code,course_name,course_details,credits,prerequisites,corequisites,exclusions,breadth_requirements,course_experience,note,course_link
MGHD25,MGH,D25,Human Resources Recruitment and Selection,"An in-depth look at recruitment and selection practices in organizations. Students will learn about organizational recruitment strategies, the legal issues surrounding recruitment and selection, how to screen job applicants, and the role of employee testing and employee interviews in making selection decisions.",0.5,MGHA12H3/(MGHB12H3) or MGIA12H3/(MGIB12H3),,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGHD25H3
MGHD26,MGH,D26,Training and Development,"This course is designed to teach students about the training and development process. Topics include how training and development fits within the larger organizational context as well as learning, needs analysis, the design and delivery of training programs, on and off-the-job training methods, the transfer of training, and training evaluation.",0.5,MGHA12H3/(MGHB12H3) or MGIA12H3/(MGIB12H3),,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGHD26H3
MGHD27,MGH,D27,Human Resources Planning and Strategy,"This course is designed to provide students with an understanding of strategic human resources management and the human resource planning process. Students will learn how to forecast, design, and develop human resource plans and requirements using both qualitative and quantitative techniques.",0.5,MGHA12H3/(MGHB12H3) or MGIA12H3/(MGIB12H3),,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGHD27H3
MGHD28,MGH,D28,Compensation,This course is designed to provide students with an understanding of compensation programs and systems. Students will learn how to design and manage compensation and benefit programs; individual and group reward and incentive plans; and how to evaluate jobs and assess employee performance.,0.5,MGHA12H3/(MGHB12H3) or MGIA12H3/(MGIB12H3),,,Social and Behavioural Sciences,University-Based Experience,,https://ttb.utoronto.ca/cp/MGHD28H3
MGHD60,MGH,D60,Advanced Special Topics in Organizational Behaviour and Human Resources,"This course covers advanced special topics in the area of organizational behaviour and human resources. The specific topics will vary from year to year, but could include topics in: organizational culture, motivation, leadership, communication, organizational design, work attitudes, job analysis, employee well-being and performance, performance management, selection, training, or equity, diversity and inclusion at work. The specific topics to be covered will be set out in the syllabus for the course for each semester in which it is offered.",0.5,[MGHA12H3or MGIA12H3] and [MGHB02H3or MGIB02H3] and 7.5 creditsRecommended Preparation: MGTA38H3or MGTA35H3or MGTA36H3,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGHD60H3
MGIA01,MGI,A01,Principles of International Marketing,"An introduction to basic marketing concepts and tools that provide students with a conceptual framework for analyzing marketing problems facing global managers. Topics are examined from an international marketing perspective and include: buyer behaviour, market segmentation and basic elements of the marketing mix.",0.5,Enrolment in the MIB program,,"MGMA01H3, MGT252H5, RSM250H1",Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGIA01H3
MGIA12,MGI,A12,International Human Resources,"This course examines how human resource practices are different across cultures and how they are affected when they ""go global."" It examines how existing organizational structures and human resource systems need to adapt to globalization, in order to succeed domestically and internationally.",0.5,,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGIA12H3
MGIB01,MGI,B01,Global Marketing,"This course examines the challenge of entering and operating in foreign markets. Topics such as international marketing objectives, foreign market selection, adaptation of products, and communication and cultural issues, are examined through case discussions and class presentations. The term project is a detailed plan for marketing a specific product to a foreign country.",0.5,MGMA01H3or MGIA01H3,,MGMB01H3,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGIB01H3
MGIB02,MGI,B02,International Organizational Behaviour,"Examines how and why people from different cultures differ in their workplace behaviours, attitudes, and in how they behave in teams. Uses discussion and case studies to enable students to understand how employees who relocate or travel to a different cultural context, can manage and work in that context.",0.5,,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGIB02H3
MGIC01,MGI,C01,International Corporate Strategy,"International Corporate Strategy examines the analyses and choices that corporations make in an increasingly globalized world. Topics will include: recent trends in globalization, the notion of competitive advantage, the choice to compete through exports or foreign direct investment, and the risks facing multinational enterprises.",0.5,Minimum of 10.0 credits including MGAB02H3and MGIA01H3and MGFB10H3and MGIB02H3,,MGSC01H3,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGIC01H3
MGIC02,MGI,C02,International Leadership Skills,"Leaders who work internationally must learn how to customize their leadership competencies to the different cultures in which they practice. By using role plays, simulations, cases, and class discussions, students will develop the culturally appropriate leadership skills of articulating a vision, planning and implementing goals, negotiation, and providing effective feedback.",0.5,MGIB02H3,,MGHC02H3,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGIC02H3
MGID40,MGI,D40,Introduction to International Business Law,"This course offers an introduction to key topics in the law governing international trade and business transactions, including the law and conventions governing foreign investment, and the legal structure of doing business internationally, the international sale and transportation of goods, international finance, intellectual property and international dispute settlement.",0.5,Completion of 10.0 credits,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGID40H3
MGID79,MGI,D79,International Capstone Case Analysis,"This course focuses on critical thinking and problem solving skills through analyzing, researching and writing comprehensive business cases, and is offered in the final semester of the MIB specialist program. It is designed to provide students the opportunity to apply the knowledge acquired from each major area of management studies to international real-world situations.",0.5,MGAB03H3and MGIA01H3and MGIA12H3/(MGIB12H3) and MGIB02H3and MGFC10H3and MGIC01H3,,MGSD01H3,Social and Behavioural Sciences,Partnership-Based Experience,,https://ttb.utoronto.ca/cp/MGID79H3
